aasqa,date_maj,code_no2,code_o3,code_pm10,code_pm25,code_qual,code_so2,code_zone,coul_qual,date_dif,date_ech,epsg_reg,lib_qual,lib_zone,source,type_zone,x_reg,x_wgs84,y_reg,y_wgs84,gml_id2
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,73097,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Curienne,Atmo Auvergne-Rhône-Alpes,commune,934684.6,6.00938417762391,6500764.1,45.5661235674482,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,73098,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,la Combe,Atmo Auvergne-Rhône-Alpes,commune,934591.1,6.01118798093466,6506905.3,45.6214155578031,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,73099,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Détrier,Atmo Auvergne-Rhône-Alpes,commune,942170.0,6.09867355642984,6487642.6,45.4454507543116,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,73100,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Domessin,Atmo Auvergne-Rhône-Alpes,commune,911388.6,5.70918536743229,6496854.7,45.5385379169842,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,73101,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,La Chapelle,Atmo Auvergne-Rhône-Alpes,commune,946497.9,6.16779092279209,6514537.8,45.6858982977621,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,73103,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Bardot,Atmo Auvergne-Rhône-Alpes,commune,928664.9,5.93707274849995,6510848.7,45.6589094349528,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,73104,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Dullin,Atmo Auvergne-Rhône-Alpes,commune,914010.8,5.74354157017662,6498599.4,45.5534239867872,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,73105,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Les Échelles,Atmo Auvergne-Rhône-Alpes,commune,915267.3,5.75385655989312,6485666.5,45.4366443654806,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,73106,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,École,Atmo Auvergne-Rhône-Alpes,commune,946532.0,6.16619510683883,6510589.3,45.6503590092998,
84,2026-04-01T15:31:01.698+02:00,1,2,1,1,2,1,73107,#50ccaa,2026-04-01,2026-03-31,2154,Moyen,Épernay,Atmo Auvergne-Rhône-Alpes,commune,925383.5,5.8841236000741,6487734.1,45.4519990780832,
